variable_name,value,value_label
WAVE,1.0,Wave 1 only
WAVE,2.0,Wave 2 only
WAVE,3.0,Both Wave 1 and Wave 2
WAVE,4.0,Wave 1 and Wave 3
WAVE,5.0,Wave 2 and Wave 3
WAVE,6.0,Wave 1 and Wave 2 and Wave 3
Sample_Type,1.0,KP
Sample_Type,2.0,Opt-in
HUMFL1,-1.0,Skipped
HUMFL1,0.0,0 - Extremely negative (Unhappy)
HUMFL1,1.0,1
HUMFL1,2.0,2
HUMFL1,3.0,3 - Somewhat negative (Unhappy)
HUMFL1,4.0,4
HUMFL1,5.0,5 - Neither
HUMFL1,6.0,6
HUMFL1,7.0,7 - Somewhat positive (Happy)
HUMFL1,8.0,8
HUMFL1,9.0,9
HUMFL1,10.0,10 - Extremely positive (Happy)
HUMFL2,-1.0,Skipped
HUMFL2,0.0,0 - Not at all worthwhile
HUMFL2,1.0,1
HUMFL2,2.0,2
HUMFL2,3.0,3 - Not very worthwhile
HUMFL2,4.0,4
HUMFL2,5.0,5 - Neither
HUMFL2,6.0,6
HUMFL2,7.0,7 - Somewhat worthwhile
HUMFL2,8.0,8
HUMFL2,9.0,9
HUMFL2,10.0,10 - Completely worthwhile
HUMFL3_1,-1.0,Skipped
HUMFL3_1,1.0,0 - Not true of me
HUMFL3_1,2.0,1
HUMFL3_1,3.0,2
HUMFL3_1,4.0,3 - Not very true of me
HUMFL3_1,5.0,4
HUMFL3_1,6.0,5 - Neither
HUMFL3_1,7.0,6
HUMFL3_1,8.0,7 - Somewhat true of me
HUMFL3_1,9.0,8
HUMFL3_1,10.0,9
HUMFL3_1,11.0,10 - Completely true of me
HUMFL3_2,-1.0,Skipped
HUMFL3_2,1.0,0 - Not true of me
HUMFL3_2,2.0,1
HUMFL3_2,3.0,2
HUMFL3_2,4.0,3 - Not very true of me
HUMFL3_2,5.0,4
HUMFL3_2,6.0,5 - Neither
HUMFL3_2,7.0,6
HUMFL3_2,8.0,7 - Somewhat true of me
HUMFL3_2,9.0,8
HUMFL3_2,10.0,9
HUMFL3_2,11.0,10 - Completely true of me
HUMFL3_3,-1.0,Skipped
HUMFL3_3,1.0,0 - Not true of me
HUMFL3_3,2.0,1
HUMFL3_3,3.0,2
HUMFL3_3,4.0,3 - Not very true of me
HUMFL3_3,5.0,4
HUMFL3_3,6.0,5 - Neither
HUMFL3_3,7.0,6
HUMFL3_3,8.0,7 - Somewhat true of me
HUMFL3_3,9.0,8
HUMFL3_3,10.0,9
HUMFL3_3,11.0,10 - Completely true of me
HUMFL6_1,-1.0,Skipped
HUMFL6_1,1.0,0 - Worry all of the time
HUMFL6_1,2.0,1
HUMFL6_1,3.0,2
HUMFL6_1,4.0,3 - Worry a lot of the time
HUMFL6_1,5.0,4
HUMFL6_1,6.0,5 - Neither
HUMFL6_1,7.0,6
HUMFL6_1,8.0,7 - Worry some of the time
HUMFL6_1,9.0,8
HUMFL6_1,10.0,9
HUMFL6_1,11.0,10 - Do not ever worry
HUMFL6_2,-1.0,Skipped
HUMFL6_2,1.0,0 - Worry all of the time
HUMFL6_2,2.0,1
HUMFL6_2,3.0,2
HUMFL6_2,4.0,3 - Worry a lot of the time
HUMFL6_2,5.0,4
HUMFL6_2,6.0,5 - Neither
HUMFL6_2,7.0,6
HUMFL6_2,8.0,7 - Worry some of the time
HUMFL6_2,9.0,8
HUMFL6_2,10.0,9
HUMFL6_2,11.0,10 - Do not ever worry
Fed_Respect,-1.0,Skipped
Fed_Respect,1.0,No respect at all
Fed_Respect,2.0,A little respect
Fed_Respect,3.0,A fair amount of respect
Fed_Respect,4.0,A great deal of respect
State_Respect,-1.0,Skipped
State_Respect,1.0,No respect at all
State_Respect,2.0,A little respect
State_Respect,3.0,A fair amount of respect
State_Respect,4.0,A great deal of respect
Local_Respect,-1.0,Skipped
Local_Respect,1.0,No respect at all
Local_Respect,2.0,A little respect
Local_Respect,3.0,A fair amount of respect
Local_Respect,4.0,A great deal of respect
Media_1,-1.0,Skipped
Media_1,1.0,Never
Media_1,2.0,Rarely
Media_1,3.0,Sometimes
Media_1,4.0,Fairly often
Media_1,5.0,Every day
Media_2,-1.0,Skipped
Media_2,1.0,Never
Media_2,2.0,Rarely
Media_2,3.0,Sometimes
Media_2,4.0,Fairly often
Media_2,5.0,Every day
Media_3,-1.0,Skipped
Media_3,1.0,Never
Media_3,2.0,Rarely
Media_3,3.0,Sometimes
Media_3,4.0,Fairly often
Media_3,5.0,Every day
Media_4,-1.0,Skipped
Media_4,1.0,Never
Media_4,2.0,Rarely
Media_4,3.0,Sometimes
Media_4,4.0,Fairly often
Media_4,5.0,Every day
Media_5,-1.0,Skipped
Media_5,1.0,Never
Media_5,2.0,Rarely
Media_5,3.0,Sometimes
Media_5,4.0,Fairly often
Media_5,5.0,Every day
Media_6,-1.0,Skipped
Media_6,1.0,Never
Media_6,2.0,Rarely
Media_6,3.0,Sometimes
Media_6,4.0,Fairly often
Media_6,5.0,Every day
Media_7,-1.0,Skipped
Media_7,1.0,Never
Media_7,2.0,Rarely
Media_7,3.0,Sometimes
Media_7,4.0,Fairly often
Media_7,5.0,Every day
Media_8,-1.0,Skipped
Media_8,1.0,Never
Media_8,2.0,Rarely
Media_8,3.0,Sometimes
Media_8,4.0,Fairly often
Media_8,5.0,Every day
Media_9,-1.0,Skipped
Media_9,1.0,Never
Media_9,2.0,Rarely
Media_9,3.0,Sometimes
Media_9,4.0,Fairly often
Media_9,5.0,Every day
Media_10,-1.0,Skipped
Media_10,1.0,Never
Media_10,2.0,Rarely
Media_10,3.0,Sometimes
Media_10,4.0,Fairly often
Media_10,5.0,Every day
Media_11,-1.0,Skipped
Media_11,1.0,Never
Media_11,2.0,Rarely
Media_11,3.0,Sometimes
Media_11,4.0,Fairly often
Media_11,5.0,Every day
Interest_1_1,-1.0,Skipped
Interest_1_1,1.0,None at all
Interest_1_1,2.0,A little
Interest_1_1,3.0,A fair amount
Interest_1_1,4.0,A lot
Interest_1_2,-1.0,Skipped
Interest_1_2,1.0,None at all
Interest_1_2,2.0,A little
Interest_1_2,3.0,A fair amount
Interest_1_2,4.0,A lot
Interest_1_3,-1.0,Skipped
Interest_1_3,1.0,None at all
Interest_1_3,2.0,A little
Interest_1_3,3.0,A fair amount
Interest_1_3,4.0,A lot
Interest_1_4,-1.0,Skipped
Interest_1_4,1.0,None at all
Interest_1_4,2.0,A little
Interest_1_4,3.0,A fair amount
Interest_1_4,4.0,A lot
