variable_name,variable_label
Respid,
ppcmdate,Date member completed survey
WAVE,Wave of Respondent
wave2_wt,
wave1_wt,
total_wt_wv3,
fresh_wt,
recontact_wt,
total_wt,
weight_pid,
sno,sno
ano,ano
Sample_Type,"HIDE QUES SCREEN - ONLY FOR TESTING

Sample Punching Question"
dov_sample,dov_sample
complete_status,complete_status
HUMFL1,"In general, how positive (happy) or negative (unhappy) do you usually feel these days?"
HUMFL2,"Overall, to what extent do you feel the things you do in your life are worthwhile?"
HUMFL3_1,"Please read the statements below. For each one, please tell us whether the statement is not true of you at all or completely true of you. - I understand my purpose in life."
HUMFL3_2,"Please read the statements below. For each one, please tell us whether the statement is not true of you at all or completely true of you. - Even in difficult and challenging situations I always act to promote good in all circumstances."
HUMFL3_3,"Please read the statements below. For each one, please tell us whether the statement is not true of you at all or completely true of you. - I am always able to give up some happiness now for greater happiness later."
HUMFL6_1,Please read the statements below. Please tell us how often you worry about…? - Being able to meet normal monthly living expenses
HUMFL6_2,"Please read the statements below. Please tell us how often you worry about…? - Safety, food, or housing"
Fed_Respect,How much do you respect those who serve in the FEDERAL government?
State_Respect,How much do you respect those who serve in your STATE government?
Local_Respect,How much do you respect those who serve in your LOCAL government?
Media_1,"How often, if at all, do you get news or information from the following sources? - FOX News"
Media_2,"How often, if at all, do you get news or information from the following sources? - CNN or MSNBC"
Media_3,"How often, if at all, do you get news or information from the following sources? - ABC, CBS, or NBC News"
Media_4,"How often, if at all, do you get news or information from the following sources? - New York Times, Washington Post, Wall Street Journal, or USA Today"
Media_5,"How often, if at all, do you get news or information from the following sources? - Conservative online news (e.g., Breitbart, Daily Caller, Newsmax, Instapundit)"
Media_6,"How often, if at all, do you get news or information from the following sources? - Digital or online news"
Media_7,"How often, if at all, do you get news or information from the following sources? - Your local newspaper"
Media_8,"How often, if at all, do you get news or information from the following sources? - Your local TV news"
Media_9,"How often, if at all, do you get news or information from the following sources? - Public television or radio"
Media_10,"How often, if at all, do you get news or information from the following sources? - Social media, YouTube, or TikTok"
Media_11,"How often, if at all, do you get news or information from the following sources? - Newsletters or news items sent directly to you"
Interest_1_1,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - U.S. Democracy"
Interest_1_2,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - U.S. Democracy - Voting and Elections"
Interest_1_3,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - U.S. Democracy – Citizenship rights and freedoms"
Interest_1_4,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - U.S. Democracy – How to improve it"
Interest_1_5,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - Energy and climate"
Interest_1_6,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - Finance and investment"
Interest_1_7,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - Government and public policy"
Interest_1_8,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - Artificial Intelligence and technology"
Interest_1_9,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - Economics and labor"
Interest_1_10,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - Housing and real estate"
Interest_1_11,"There are many subjects being discussed these days, please indicate how much interest you have in gaining a deeper understanding of each of the following: - Personal health and well-being"
Fed_Trust,How much do you trust the FEDERAL government to do what is right?
State_Trust,How much do you trust your STATE government to do what is right?
Local_Trust,How much do you trust your LOCAL government to do what is right?
